payment_method,failure_code,amount,attempt_number,customer_failure_count,merchant_failure_rate,transaction_hour,is_international,previous_success,recovery_probability
NETBANKING,NETWORK_ERROR,1739,3,1,0.12,23,0,0,0.667049251244904
UPI,BANK_TIMEOUT,6240,2,1,0.26,0,0,1,0.7160440622040697
NETBANKING,CARD_DECLINED,525,2,5,0.22,8,0,0,0.1237213072206781
CARD,NETWORK_ERROR,6178,4,0,0.19,11,1,0,0.6239731786693817
NETBANKING,NETWORK_ERROR,24907,1,4,0.15,20,1,0,0.6254571836214924
UPI,INSUFFICIENT_FUNDS,19065,1,1,0.43,12,1,1,0.26056844442644
CARD,GATEWAY_TIMEOUT,24360,3,1,0.34,22,0,0,0.6094139877029707
UPI,GATEWAY_TIMEOUT,30394,4,2,0.49,20,0,1,0.5952851920189809
UPI,INSUFFICIENT_FUNDS,2203,3,3,0.14,6,1,0,0.08154386652948799
CARD,EXPIRED_CARD,9463,3,1,0.13,17,1,1,0.04978228836024771
CARD,FRAUD_SUSPECTED,14473,2,4,0.25,1,0,0,0.02274460417030901
NETBANKING,INVALID_CARD,39186,1,3,0.2,14,1,0,0.028028341025651847
UPI,INVALID_ACCOUNT,49309,3,5,0.18,9,1,0,0.01
NETBANKING,CARD_DECLINED,32906,2,4,0.46,20,1,0,0.01
UPI,INVALID_ACCOUNT,34857,1,4,0.17,0,0,1,0.04787218778231842
CARD,INSUFFICIENT_FUNDS,3896,2,4,0.47,2,1,0,0.10079844936773343
NETBANKING,GATEWAY_TIMEOUT,8514,4,4,0.09,16,1,0,0.5338913493002176
NETBANKING,INSUFFICIENT_FUNDS,46823,3,3,0.5,20,1,1,0.08996140846429455
CARD,NETWORK_ERROR,16346,2,0,0.18,18,0,0,0.6827190838985093
NETBANKING,BANK_TIMEOUT,15103,1,0,0.43,2,0,1,0.8238977778296281
UPI,INVALID_ACCOUNT,8771,4,1,0.39,13,0,0,0.01
CARD,FRAUD_SUSPECTED,27859,4,3,0.43,1,0,0,0.01
CARD,NETWORK_ERROR,16395,2,1,0.27,4,1,0,0.640854514466694
UPI,NETWORK_ERROR,29141,1,0,0.33,17,0,0,0.7796366983008127
UPI,GATEWAY_TIMEOUT,26734,4,3,0.11,12,0,0,0.5068973118976916
CARD,CARD_DECLINED,29919,3,3,0.35,23,1,0,0.01
UPI,BANK_TIMEOUT,38057,1,5,0.16,1,1,0,0.5296879579728684
NETBANKING,NETWORK_ERROR,12278,1,4,0.04,7,1,0,0.6901596127229089
NETBANKING,INSUFFICIENT_FUNDS,38040,1,4,0.05,21,1,1,0.13542591994235362
NETBANKING,FRAUD_SUSPECTED,15742,3,3,0.07,20,1,1,0.01
UPI,BANK_TIMEOUT,30134,1,0,0.27,16,1,0,0.7563259377993709
UPI,INSUFFICIENT_FUNDS,24317,3,1,0.22,17,1,0,0.10478632037125837
NETBANKING,CARD_DECLINED,43575,1,1,0.14,3,0,1,0.25417562714578934
UPI,FRAUD_SUSPECTED,13442,3,4,0.25,1,0,1,0.04293480893722194
UPI,BANK_TIMEOUT,21959,2,5,0.49,5,1,1,0.5470906864774746
UPI,NETWORK_ERROR,45386,2,4,0.03,11,0,1,0.6097445519282139
CARD,FRAUD_SUSPECTED,2714,3,1,0.34,21,0,1,0.03801162418714427
CARD,ACCOUNT_BLOCKED,49217,2,1,0.43,5,1,0,0.01
CARD,INVALID_CARD,44003,2,2,0.09,22,0,1,0.04721667829060897
CARD,INSUFFICIENT_FUNDS,13179,4,2,0.16,7,0,0,0.09000331827486287
CARD,FRAUD_SUSPECTED,18358,1,2,0.18,16,1,1,0.05392371403247157
UPI,CARD_DECLINED,11802,3,0,0.06,13,1,1,0.20763938838706075
NETBANKING,NETWORK_ERROR,25344,2,2,0.03,13,0,0,0.6434221471781263
UPI,FRAUD_SUSPECTED,40939,3,5,0.43,23,1,1,0.026689290410572962
CARD,INVALID_CARD,45792,3,4,0.07,13,1,0,0.021551491595138056
CARD,INVALID_CARD,36009,1,2,0.15,13,1,1,0.01
NETBANKING,INSUFFICIENT_FUNDS,33600,4,5,0.09,2,1,1,0.01
UPI,CARD_DECLINED,14822,2,1,0.02,7,1,0,0.18354161683800896
NETBANKING,ACCOUNT_BLOCKED,12842,4,3,0.21,4,0,0,0.037842040676732504
UPI,GATEWAY_TIMEOUT,45707,4,0,0.28,3,1,0,0.5921416601722264
NETBANKING,INVALID_ACCOUNT,36729,3,3,0.31,23,1,1,0.049720810323326224
NETBANKING,EXPIRED_CARD,29595,3,1,0.42,8,1,0,0.01
UPI,CARD_DECLINED,15467,3,2,0.17,17,0,0,0.08808306580130865
CARD,GATEWAY_TIMEOUT,46395,2,0,0.21,10,1,1,0.6752265710583585
CARD,INVALID_CARD,38378,1,4,0.2,0,1,1,0.03534751250593859
CARD,INVALID_ACCOUNT,49089,2,3,0.12,13,1,0,0.01
NETBANKING,INVALID_CARD,47559,2,3,0.46,19,0,1,0.01918927756279109
NETBANKING,BANK_TIMEOUT,5601,4,1,0.43,5,0,1,0.6149103864188139
UPI,EXPIRED_CARD,21520,3,3,0.15,13,1,0,0.01
NETBANKING,INVALID_ACCOUNT,3513,3,1,0.33,20,0,0,0.05496117327159889
UPI,BANK_TIMEOUT,40819,2,1,0.07,21,0,0,0.679503398343522
CARD,FRAUD_SUSPECTED,11096,1,1,0.48,3,0,1,0.029579672841241418
CARD,INVALID_CARD,46959,2,0,0.3,20,0,0,0.029719300249577217
CARD,ACCOUNT_BLOCKED,8033,1,2,0.27,21,1,0,0.010596078967707789
CARD,BANK_TIMEOUT,27628,4,0,0.22,11,1,0,0.5615487145007676
NETBANKING,INVALID_ACCOUNT,42728,3,4,0.41,17,1,1,0.01
NETBANKING,ACCOUNT_BLOCKED,17689,3,1,0.42,2,1,1,0.01
CARD,ACCOUNT_BLOCKED,40098,4,2,0.02,10,0,1,0.01
CARD,FRAUD_SUSPECTED,18427,3,4,0.01,6,0,0,0.032007466410419426
CARD,INVALID_ACCOUNT,49787,2,5,0.24,22,1,1,0.03929328681323175
UPI,CARD_DECLINED,14622,4,5,0.13,21,1,1,0.01534729550102496
CARD,INVALID_CARD,48985,3,2,0.35,8,1,1,0.01
NETBANKING,INSUFFICIENT_FUNDS,20779,1,5,0.27,22,0,0,0.06463846398786056
CARD,CARD_DECLINED,47586,3,0,0.42,9,0,1,0.1459441543685403
UPI,INVALID_ACCOUNT,8395,3,0,0.49,17,1,0,0.02378696551059275
CARD,NETWORK_ERROR,903,3,3,0.24,10,0,0,0.5612478390492973
CARD,NETWORK_ERROR,4382,4,3,0.05,20,0,0,0.5199197584473656
NETBANKING,CARD_DECLINED,5682,2,0,0.28,13,0,1,0.2670514464888754
CARD,CARD_DECLINED,38669,4,2,0.29,1,0,0,0.043551503040660286
CARD,NETWORK_ERROR,10392,2,1,0.28,5,0,1,0.7370503704617702
NETBANKING,EXPIRED_CARD,19187,1,1,0.15,9,1,0,0.04373849200712428
CARD,ACCOUNT_BLOCKED,43431,2,3,0.07,7,0,1,0.04266311596500597
UPI,BANK_TIMEOUT,10973,3,4,0.38,18,1,1,0.5244353658174709
NETBANKING,CARD_DECLINED,45957,4,2,0.26,15,1,0,0.019803666204110365
CARD,FRAUD_SUSPECTED,39664,3,0,0.05,21,0,1,0.01762469846027468
UPI,EXPIRED_CARD,34110,4,2,0.1,18,1,1,0.05690552360657037
CARD,FRAUD_SUSPECTED,26861,3,2,0.34,5,1,1,0.029367367398343246
CARD,INVALID_CARD,49940,1,3,0.05,8,1,0,0.057018472680857725
CARD,INVALID_ACCOUNT,175,4,3,0.04,16,1,1,0.0225408742145009
UPI,INSUFFICIENT_FUNDS,17601,2,2,0.22,22,1,0,0.09088694424416632
NETBANKING,ACCOUNT_BLOCKED,15782,2,2,0.28,17,1,0,0.01
UPI,EXPIRED_CARD,7798,2,3,0.47,9,1,1,0.04347239455766944
CARD,INSUFFICIENT_FUNDS,30035,2,3,0.1,19,0,0,0.09762474028220407
CARD,FRAUD_SUSPECTED,33375,3,0,0.15,9,1,0,0.01
CARD,FRAUD_SUSPECTED,21886,4,3,0.47,6,0,1,0.01
CARD,BANK_TIMEOUT,20952,4,5,0.46,12,1,0,0.39353286496164236
UPI,GATEWAY_TIMEOUT,33018,3,0,0.44,14,0,1,0.6275347597915261
UPI,INVALID_CARD,43011,2,0,0.24,8,1,1,0.03098366525792727
CARD,INVALID_ACCOUNT,25004,3,5,0.36,15,0,0,0.01
