payment_method,failure_code,amount,attempt_number,customer_failure_count,merchant_failure_rate,transaction_hour,is_international,previous_success,failure_class
NETBANKING,BANK_TIMEOUT,18124,2,1,0.08,3,0,1,TRANSIENT
UPI,BANK_TIMEOUT,14428,2,4,0.3,17,0,1,TRANSIENT
NETBANKING,CARD_DECLINED,18331,1,1,0.35,10,1,0,CUSTOMER_ACTION
UPI,CARD_DECLINED,6178,4,0,0.19,11,1,0,CUSTOMER_ACTION
CARD,INVALID_CARD,5264,3,5,0.31,11,0,0,PERMANENT
UPI,GATEWAY_TIMEOUT,19065,1,1,0.43,12,1,1,TRANSIENT
CARD,FRAUD_SUSPECTED,23383,2,5,0.14,21,0,0,RISK
CARD,INSUFFICIENT_FUNDS,24967,3,5,0.35,7,1,0,CUSTOMER_ACTION
CARD,INSUFFICIENT_FUNDS,26390,3,0,0.11,18,1,0,CUSTOMER_ACTION
NETBANKING,ACCOUNT_BLOCKED,30171,2,2,0.08,23,1,1,PERMANENT
UPI,INVALID_ACCOUNT,9165,4,0,0.38,3,0,0,PERMANENT
CARD,INVALID_CARD,25109,4,4,0.13,17,0,0,PERMANENT
UPI,FRAUD_SUSPECTED,19334,4,1,0.23,23,1,0,RISK
CARD,GATEWAY_TIMEOUT,41974,2,1,0.19,5,0,1,TRANSIENT
UPI,INVALID_CARD,23888,3,1,0.04,18,0,0,PERMANENT
NETBANKING,INVALID_CARD,8341,2,5,0.24,17,0,1,PERMANENT
NETBANKING,EXPIRED_CARD,49597,2,5,0.16,21,1,1,PERMANENT
UPI,INVALID_CARD,14825,1,2,0.02,17,0,0,PERMANENT
NETBANKING,BANK_TIMEOUT,41459,1,1,0.04,1,1,0,TRANSIENT
NETBANKING,CARD_DECLINED,31912,2,4,0.07,18,1,0,CUSTOMER_ACTION
UPI,ACCOUNT_BLOCKED,6281,1,5,0.22,13,1,1,PERMANENT
NETBANKING,GATEWAY_TIMEOUT,42448,1,0,0.21,10,0,0,TRANSIENT
NETBANKING,INSUFFICIENT_FUNDS,29500,2,3,0.1,14,0,0,CUSTOMER_ACTION
UPI,INVALID_CARD,42838,1,0,0.46,7,0,1,PERMANENT
UPI,ACCOUNT_BLOCKED,26382,1,1,0.2,12,1,1,PERMANENT
NETBANKING,FRAUD_SUSPECTED,47974,4,1,0.1,6,0,0,RISK
UPI,FRAUD_SUSPECTED,38384,4,4,0.46,16,0,0,RISK
UPI,BANK_TIMEOUT,39096,1,5,0.43,12,0,0,TRANSIENT
UPI,GATEWAY_TIMEOUT,27574,3,2,0.11,22,1,0,TRANSIENT
UPI,FRAUD_SUSPECTED,44119,3,3,0.16,2,0,1,RISK
NETBANKING,BANK_TIMEOUT,14069,3,1,0.47,2,0,1,TRANSIENT
CARD,FRAUD_SUSPECTED,35700,3,4,0.49,20,0,1,RISK
CARD,BANK_TIMEOUT,7664,1,5,0.28,8,1,0,TRANSIENT
NETBANKING,FRAUD_SUSPECTED,41665,3,4,0.25,1,0,1,RISK
UPI,FRAUD_SUSPECTED,21959,2,5,0.49,5,1,1,RISK
UPI,BANK_TIMEOUT,45386,2,4,0.03,11,0,1,TRANSIENT
CARD,INSUFFICIENT_FUNDS,23997,1,2,0.11,7,0,1,CUSTOMER_ACTION
UPI,EXPIRED_CARD,10749,2,3,0.02,23,1,1,PERMANENT
UPI,CARD_DECLINED,46058,1,3,0.44,15,0,0,CUSTOMER_ACTION
CARD,INVALID_ACCOUNT,15015,2,0,0.33,12,1,1,PERMANENT
CARD,NETWORK_ERROR,42140,4,5,0.49,17,1,0,TRANSIENT
UPI,NETWORK_ERROR,38149,3,0,0.06,13,1,1,TRANSIENT
CARD,INVALID_CARD,37887,2,2,0.03,13,0,0,PERMANENT
UPI,FRAUD_SUSPECTED,43631,3,4,0.16,3,1,1,RISK
CARD,INVALID_ACCOUNT,45792,3,4,0.07,13,1,0,PERMANENT
NETBANKING,FRAUD_SUSPECTED,126,3,2,0.11,18,1,1,RISK
NETBANKING,ACCOUNT_BLOCKED,14105,4,5,0.09,2,1,1,PERMANENT
NETBANKING,BANK_TIMEOUT,20443,2,1,0.08,1,0,1,TRANSIENT
CARD,NETWORK_ERROR,41372,2,5,0.35,15,1,0,TRANSIENT
UPI,INSUFFICIENT_FUNDS,27962,2,1,0.4,22,1,0,CUSTOMER_ACTION
CARD,INSUFFICIENT_FUNDS,8838,4,5,0.27,17,1,1,CUSTOMER_ACTION
UPI,ACCOUNT_BLOCKED,48836,4,3,0.14,7,1,1,PERMANENT
